id;adresse_norm
896513;5125 RUE DU SUD 7530 VALLEES-D'ANTRAIGUES-ASPERJOC
896521;5147  LE FAUX 7530 VALLEES-D'ANTRAIGUES-ASPERJOC
896524;5304  LE RACOURCI 7530 VALLEES-D'ANTRAIGUES-ASPERJOC
896532;255 RTE DE CHALIAS 7560 MONTPEZAT-SOUS-BAUZON
896545;9 RUE MONTGOLFIER 7560 MONTPEZAT-SOUS-BAUZON
896998;21 AV DE LA PORTE DES CHAMPS 76000 ROUEN
897021;13 RUE DE LA SEILLE 76000 ROUEN
897339;12 RUE EAU DE ROBEC 76000 ROUEN
897748;5354  LOME 7610 VION
897515;16 RUE MAILLOTS SARRAZINS 76000 ROUEN
897662;105 RUE SAINT VIVIEN 76000 ROUEN
897706;1 RUE STENDHAL 76000 ROUEN
897790;60 RUE DE BAMMEVILLE 76100 ROUEN
898055;1 RUE DU CLOS DU CEDRE 76110 GODERVILLE
898317;14 AV DES CANADIENS 76120 GRAND QUEVILLY (LE)
898429;34 PL COLBERT 76130 MONT-SAINT-AIGNAN
898541;52 AV DU MONT AUX MALADES 76130 MONT-SAINT-AIGNAN
898657;17 COTE DE LA FERME BOIVIN 76133 NOTRE-DAME-DU-BEC
899350;160 RUE DES CHAMPS DE SEINE 76170 SAINT-NICOLAS-DE-LA-TAILLE
899482;730 RTE DU MESNIL 76190 SAINT MARTIN DE L IF
899953;5 RUE MARIE 76200 DIEPPE
900911;28 RUE DE BELBEUF 76240 MESNIL-ESNARD (LE)
901804;5237  BARBE 7630 LE BEAGE
906559;24 RUE DES GALIONS 76600 LE HAVRE
907275;9006 CTRE COM ILOT 1 CAUCRIAU 76610 LE HAVRE
906960;32 RUE LAMARTINE 76600 LE HAVRE
909508;1 RUE DU CLOS TELLIER 76800 SAINT-ETIENNE-DU-ROUVRAY
910418;9005 CITE BONAMOUR 7700 BOURG-SAINT-ANDEOL
910417;9003 CITE BONAMOUR 7700 BOURG-SAINT-ANDEOL
910487;9001  PIED BOUCHARD 7700 BOURG-SAINT-ANDEOL
910496;6507  QUR DE LAOUL 7700 BOURG-SAINT-ANDEOL
910492;9010  QUR DE CHAMPROUSSET 7700 BOURG-SAINT-ANDEOL
910549;15 TRA DU HAMEAU 7700 SAINT-MARCEL-D' ARDECHE
910740;52 RUE DU GENERAL DE GAULLE 77000 MELUN
910851;4 RUE SOMMIER DE BARANTE 77000 MELUN
911953;2 ALL DES MERISIERS 77124 PENCHARD
912562;38 RUE DE PARIS 77140 NEMOURS
912699;16 RUE DE FAREMOUTIERS 77141 VAUDOY-EN-BRIE
915887;1 AV DE SAVOIE 77270 VILLEPARISIS
918611;21 IMP MANUEL MONTEIRO 77420 CHAMPS-SUR-MARNE
919142;117 RUE DANTON 77480 BRAY-SUR-SEINE
919631;5117  LA NOUE 77510 SABLONNIERES
921322;32 AV DU GEN LECLERC 77680 ROISSY-EN-BRIE
921380;19  RES DU CENTRE COMMERCIAL 77680 ROISSY-EN-BRIE
921448;10 RUE DE LA FONTAINE 77700 BAILLY-ROMAINVILLIERS
922339;4 VC BARROIS 77850 HERICY
922340;6 VC BARROIS 77850 HERICY
922947;10  CASTEL LILAS 7800 BEAUCHASTEL
922949;44  CASTEL PAVILLON 7800 BEAUCHASTEL
922997;2 RUE BERTRAUD 7800 LA-VOULTE-SUR-RHONE
923643;126 RUE YVES LE COZ 78000 VERSAILLES
924033;88 AV GEORGES CLEMENCEAU 78110 VESINET (LE)
924219;33 RUE D ANGIVILLER 78120 RAMBOUILLET
924543;9001 RUE DE MARCHAIS PARFOND 78125 ORPHIN
924656;68 RUE DES PERRONS 78130 MUREAUX (LES)
924787;1 ALL DU DAUPHINE 78140 VELIZY VILLACOUBLAY
924795;9 AV DU GENERAL DE GAULLE 78140 VELIZY VILLACOUBLAY
924932;5 RUE ERNEST PSICHARI 78150 LE CHESNAY-ROCQUENCOURT
925316;2 RUE DES NEREIDES 78180 MONTIGNY LE BRETONNEUX
925871;15 RUE DU MOULIN ST BLAISE 78200 MENERVILLE
926138;1 CHE DE LA PRAIRIE 78230 PECQ (LE)
926264;47 BD MICHELET 78250 HARDRICOURT
926753;18 BD PAUL CEZANNE 78280 GUYANCOURT
928797;30 AV DE CORSE 78450 VILLEPREUX
928801;10 AV DE L IMAGE NOTRE DAME 78450 VILLEPREUX
929050;4 ALL DES LILAS 78480 VERNEUIL SUR SEINE
931974;35 RUE BASSE 78730 SAINT-ARNOULT-EN-YVELINES
934228;1 PL DU TEMPLE 79000 NIORT
935009;10 VC LOT DU PARC 79110 FONTENILLE-ST-MARTIN-D'ENTRAIG
935010;5 VC LOT DU PARC 79110 FONTENILLE-ST-MARTIN-D'ENTRAIG
939701;5517  ALLAND HUI 8000 WARCQ
940806;122 VC QUAI DE LA SOMME 80080 AMIENS
940807;212 VC QUAI DE LA SOMME 80080 AMIENS
940808;338 VC QUAI DE LA SOMME 80080 AMIENS
941640;5010  LES FERMES DE BUIRES 80120 NAMPONT-SAINT-MARTIN
942210;77 RUE DU BOISLE 80150 DOMPIERRE-SUR-AUTHIE
945119;9001  PRES DES TROIS FETUS 80510 FONTAINE-SUR-SOMME
945842;5014 VC GRANDE RUE 80700 BUS-LA-MESIERE
946091;12 PL DE LA REPUBLIQUE 80800 CORBIE
946208;1 RUE DU TOUR DE VILLE 80800 LE HAMEL
947870;47 AV DU MAQUIS 81110 DOURGNE
948187;73 RTE DE LAS BORDES 81150 LAGRAVE
948237;18 CHE DE LA VAYSSE 81150 TERSSAC
948587;50 RUE VOLTAIRE 8120 BOGNY-SUR-MEUSE
948656;13 RUE DE LA LIBERTE 81200 AUSSILLON
948754;2 CHE DE GAUTHARD 81200 MAZAMET
948791;40 AV DE LA RICHARDE 81200 MAZAMET
948903;5 RUE PIERRE EUGENE GUIRAUD 81200 MAZAMET
949178;21 RUE HAUTE 81260 ANGLES
949883;5688 VC ZONE ARTISANALE DE LA PRAD 81330 VABRE
950401;9 RUE PASTEUR 81400 CARMAUX
951940;5049  LES HOLLANDRIES 8190 BALHAM
952130;5299  LE VILLAGE 8200 GIVONNE
